График 1
AEXX (%)	Energy (eV)
0	-46.70176765
1	-47.85925754
2	-49.02085051
3	-50.18649124
4	-51.35619617
5	-52.52974778
6	-53.7071058
7	-54.88822735
8	-56.0730407
9	-57.26147911
10	-58.45347445
11	-59.64895963
12	-60.84787048
13	-62.05016325
14	-63.25573921

График 2
AEXX (%)	Band Gap (eV)
0	1.3370999999999995
1	1.5201000000000002
2	1.7042000000000002
3	1.8892000000000007
4	2.0764000000000005
5	2.2636000000000003
6	2.4513999999999996
7	2.6401000000000003
8	2.8297999999999996
9	3.0201000000000002
10	3.2113000000000005
11	3.4032999999999998
12	3.5960000000000005
13	3.7898
14	3.984
